Upperbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
6.26	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.27	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.28	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.29	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.3	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.31	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.32	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.33	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.34	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.35	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.36	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.37	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.38	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.39	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.4	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.41	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.42	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.43	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.44	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.45	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
6.46	4190	598	11001	8647	15191	9245	24436	0.2758212089538574	0.9353163838386536	0.8751044273376465	0.4400956928730011	0.7241787910461426	0.06468361616134644	0.12489557266235352	0.5599043369293213	0.5253314971923828	0.4194404184818268
